R_MPCH,XI_LYALYB_LYA,ERR_LYALYB_LYA,MODEL_LYALYB_LYA,MODEL_NO_BAO_LYALYB_LYA,XI_LYALYB_QSO,ERR_LYALYB_QSO,MODEL_LYALYB_QSO,MODEL_NO_BAO_LYALYB_QSO,XI_LYALYB_LYA+LYALYB_QSO,ERR_LYALYB_LYA+LYALYB_QSO,MODEL_LYALYB_LYA+LYALYB_QSO,MODEL_NO_BAO_LYALYB_LYA+LYALYB_QSO
12.0,0.0015357946503012309,1.417872498093033e-05,0.001517361524602147,0.0014937807113490555,-0.023081932819286707,0.0001955480830396889,-0.02262217132439092,-0.02269264846171734,0.0017489561911357722,1.104128113544502e-05,0.0017214919250797315,0.0017096888769913326
16.0,0.0008981707057307271,1.0831431314485951e-05,0.0008835622810481854,0.0008702688520424636,-0.01363649645836194,0.0001474809954639102,-0.013399430531023474,-0.013452198901987216,0.0010297264270688505,8.391899565939613e-06,0.0010124288359093017,0.00100634751309773
20.0,0.0005622910901521496,8.75968589432082e-06,0.0005300047517977567,0.0005227334470746144,-0.008665964535756144,0.00011912628882720434,-0.008325819072914874,-0.008367706914509833,0.000649417712698291,6.7834479594252895e-06,0.0006178011983810437,0.0006149498445089096
24.0,0.00034952528408650887,7.345412787399237e-06,0.0003406246038397924,0.00033648714287740447,-0.00553437993302326,9.815818893648793e-05,-0.005296465524590004,-0.005331625619357788,0.0004102534633315391,5.6480717882757345e-06,0.0003962386061632328,0.0003950858156789713
28.0,0.00020916684667652156,6.2935613279219295e-06,0.00021677759619544718,0.00021528948977681531,-0.0037784229365045454,8.370679547043791e-05,-0.0034981647025099085,-0.0035295042324575087,0.00026296751173623923,4.829940647150062e-06,0.0002570823937557644,0.0002573652922913402
32.0,0.00013940406736854174,5.476235675305912e-06,0.00014191287100087492,0.00014210541438909182,-0.002291793847059074,7.299776469804191e-05,-0.0023426763587665505,-0.0023716144771875765,0.00016681292169267028,4.206518848698803e-06,0.00017017059779456085,0.00017135191860632114
36.0,7.390884257816899e-05,4.905930560648307e-06,8.401938012910168e-05,8.558697283565894e-05,-0.0015091760096104527,6.497344725380431e-05,-0.0015354300280318897,-0.00156271747509254,9.94865772633903e-05,3.758413082083988e-06,0.00010639657208935916,0.0001083311096994121
40.0,4.1803783352459694e-05,4.439165329080861e-06,5.243851104606879e-05,5.453561344282877e-05,-0.0009212455700095641,5.933270747287348e-05,-0.0010085793100855173,-0.0010347950881835215,5.860320953421376e-05,3.4136504353043825e-06,6.810402515319291e-05,7.030832691776703e-05
44.0,1.972849089849419e-05,4.00370197047125e-06,2.967203989108198e-05,3.1861402607359254e-05,-0.0006414820392831669,5.343647743074532e-05,-0.0006764396468230835,-0.0007020419760905822,3.5285756364073334e-05,3.0769979513683295e-06,4.2446810952344556e-05,4.468318614159859e-05
48.0,5.664283479184393e-06,3.672650347193877e-06,1.7635318383912523e-05,2.0062508307486934e-05,-0.000337123401274158,4.865340069043777e-05,-0.0004521962165072116,-0.0004774872185837301,1.5854926816607514e-05,2.8139209433823178e-06,2.7159238710502234e-05,2.9524071154616688e-05
52.0,-3.835918866338009e-06,3.4227064015638865e-06,9.010779316489242e-06,1.14962835886404e-05,-0.00018680220569844834,4.5015735052421445e-05,-0.0002870800436843918,-0.00031244645664682097,4.763460915699411e-06,2.6145694962768847e-06,1.6018527915637178e-05,1.8419685151947406e-05
56.0,-2.94290570529436e-06,3.1550214435432364e-06,1.8229387987138195e-06,4.355287115433544e-06,-9.997227494929663e-05,4.2050284532597555e-05,-0.00016383600256122635,-0.00018945290021092393,1.9529943832029112e-06,2.423360883825186e-06,7.121441474528255e-06,9.560784201515523e-06
60.0,-9.100706750583827e-06,2.964745761394408e-06,-2.0357476176943964e-06,5.720781845669192e-07,6.4816243086955415e-06,3.94409037779241e-05,-9.143853566994758e-05,-0.00011776767775719093,-5.6006903907905796e-06,2.275474057375522e-06,2.1825102651157396e-06,4.692451935169926e-06
64.0,-1.0519285495668538e-05,2.780731012783372e-06,-4.493975024595272e-06,-1.90597647637997e-06,6.447603242907942e-06,3.714892239602851e-05,-3.451044295408748e-05,-6.171856493193932e-05,-6.4553144694684996e-06,2.1379259549334102e-06,-1.3864360191066113e-06,1.1446172326335881e-06
68.0,-5.953577502404991e-06,2.612642774125822e-06,-6.4307791952911e-06,-3.843628903573437e-06,0.00011388670835264987,3.4921955166308054e-05,5.765398516626232e-06,-2.25530364288608e-05,-7.709161138159135e-06,2.0091309772729343e-06,-4.014979239232856e-06,-1.443557734411529e-06
72.0,-1.1936583583447333e-05,2.486790518051288e-06,-7.841877004482568e-06,-5.219763878684052e-06,0.00012762553042749156,3.2724818155164216e-05,3.4819818098304514e-05,5.228008018068951e-06,-1.1749174383620002e-05,1.9000763708698752e-06,-5.882366124692696e-06,-3.2431264387422485e-06
76.0,-1.0860194676266789e-05,2.379604598753853e-06,-8.844448012336963e-06,-6.208738685300567e-06,3.8638023945200876e-05,3.1252743676977514e-05,5.287144435367724e-05,2.2284316451790684e-05,-7.780418077702759e-06,1.816688735345148e-06,-7.1399362391878e-06,-4.455364380006888e-06
80.0,-1.3323539740869001e-05,2.257604854679244e-06,-9.48110744690025e-06,-6.9367264866393715e-06,9.437562143007991e-05,2.9795115243173418e-05,6.794608616811872e-05,3.7557687927572254e-05,-1.1320203213126932e-05,1.7270421463272719e-06,-8.084933193062617e-06,-5.461503234243283e-06
84.0,-1.3427220053684402e-05,2.1439670499233404e-06,-9.474197758401407e-06,-7.253425435599753e-06,0.00011570062726332447,2.8432270162132006e-05,7.917969737666281e-05,5.252423961315096e-05,-1.2184025514266088e-05,1.643388271095098e-06,-8.505752697358063e-06,-6.211473835840608e-06
88.0,-6.568306179962135e-06,2.060525371184568e-06,-8.696535215144168e-06,-7.254126468170128e-06,6.233859277954465e-05,2.7248446751150214e-05,7.2671893934914e-05,5.65369184025423e-05,-6.171932089900555e-06,1.5775823196524206e-06,-7.804304148130487e-06,-6.357865149390106e-06
92.0,-5.1360177599662064e-06,1.979685109143144e-06,-6.701087736100402e-06,-6.654987676647378e-06,7.384514142314908e-05,2.594772146833463e-05,5.529657072445445e-05,5.966426963195246e-05,-5.767432655274706e-06,1.5100947859556378e-06,-5.980043279153243e-06,-6.117588729222054e-06
96.0,-2.8046090751775324e-06,1.9065714023690195e-06,-4.33121131912968e-06,-6.276117773736265e-06,5.28261245981858e-05,2.4830356140827828e-05,2.8129745013846535e-05,6.265987899467857e-05,-3.6259448717422424e-06,1.4504315724791137e-06,-3.5731511212955213e-06,-6.007893563852589e-06
100.0,-4.944463817333043e-07,1.8363348851510255e-06,-1.710302632930925e-06,-5.804880947415315e-06,-4.006877633081525e-05,2.3819047214577144e-05,-5.938969321253152e-06,6.250820850158133e-05,1.241057136937558e-06,1.3946140000313948e-06,-7.602365474788442e-07,-5.729062984394839e-06
104.0,1.460264435280861e-06,1.7664993073509584e-06,5.124311163707003e-08,-5.725439466524444e-06,-2.0074802458144412e-05,2.3075432037280827e-05,-3.422033742420085e-05,6.113063182735929e-05,1.605707246111009e-06,1.3455723355297801e-06,1.3226058798239611e-06,-5.631540328720593e-06
108.0,2.5509677633773594e-06,1.6929019499029787e-06,9.950736291107406e-07,-5.250657665314498e-06,-4.102071160731516e-05,2.209518990978724e-05,-4.905885205936938e-05,5.6098762433849986e-05,3.0303757582352763e-06,1.2890501151635606e-06,2.4322614824309346e-06,-5.165873714763684e-06
112.0,2.4008566548876684e-06,1.632563384310261e-06,5.678475756460173e-07,-5.044521792562906e-06,-5.781159354985565e-05,2.1351471751899957e-05,-4.171264680844997e-05,5.529550903959545e-05,3.5755408650809884e-06,1.244177526587053e-06,1.9035491597766365e-06,-5.016047039915993e-06
116.0,-4.928782781852073e-07,1.586575406971976e-06,-7.081838698236992e-07,-4.918283602787923e-06,-1.7722996822608253e-05,2.074685302706005e-05,-2.182928654951349e-05,5.328129366013565e-05,3.8255022701455115e-07,1.2090527335276985e-06,4.124678550806895e-07,-4.8667262990724765e-06
120.0,1.8292995801268667e-07,1.538651889055053e-06,-2.0226155342799793e-06,-4.603954139938674e-06,-4.828432271794174e-06,2.0052714370897324e-05,1.1380433293059927e-06,4.958745902302826e-05,2.888439756884293e-07,1.1708792211462614e-06,-1.2143809746136773e-06,-4.544570474683778e-06
124.0,-1.517831285872156e-06,1.4909229661505466e-06,-3.28080053946498e-06,-4.404450613224966e-06,4.5921527783236795e-06,1.9452275497392707e-05,2.4556315354135326e-05,4.85759792100305e-05,-1.0535145444354353e-06,1.1350888379940048e-06,-2.8306946351920664e-06,-4.390741235354556e-06
128.0,-3.6469573366674868e-06,1.4471324663854096e-06,-4.043143970236598e-06,-4.091092056297939e-06,1.9970998799447602e-05,1.8933974040581705e-05,3.983582715658181e-05,4.545533382757457e-05,-2.8719780958266093e-06,1.1030475521188396e-06,-3.851273093750807e-06,-4.091045122712168e-06
132.0,-5.623068778730373e-06,1.4083970789007701e-06,-4.251730953059818e-06,-3.6446418170788217e-06,4.3250282078482237e-05,1.835120931713706e-05,4.844464929160556e-05,4.196039611019691e-05,-4.894478634807579e-06,1.0716614233659381e-06,-4.297321946812691e-06,-3.700129410223617e-06
136.0,-6.380773072737448e-06,1.372758711543e-06,-4.4460113243036896e-06,-3.4519958547478663e-06,3.0601731774861905e-05,1.783964103134184e-05,5.4444449827990214e-05,4.05368971724863e-05,-4.849227236529041e-06,1.0433806083413983e-06,-4.637734124691698e-06,-3.534905230442133e-06
140.0,-5.818217701111581e-06,1.3336517981903953e-06,-4.213515815304097e-06,-3.088795685130655e-06,7.50235288282547e-05,1.7351493809404754e-05,5.4152289352443094e-05,3.714341394631247e-05,-6.2120830072097856e-06,1.01415206624353e-06,-4.491946113282723e-06,-3.1959653421997514e-06
144.0,-4.946744686909292e-06,1.2982689039038634e-06,-4.073452861523619e-06,-2.913550805240889e-06,6.196923095248216e-05,1.680792252307401e-05,5.2404808762066786e-05,3.4533823816669195e-05,-5.2141675343559505e-06,9.851855732640225e-07,-4.346175009195852e-06,-2.9960458236473996e-06
148.0,-4.095665142089996e-06,1.2668880987581492e-06,-3.6898945440754128e-06,-2.607228230954531e-06,6.229019294732029e-05,1.6424275039529706e-05,4.8952793025972575e-05,3.1714063298930904e-05,-4.73531191593508e-06,9.619341189574555e-07,-3.993045814740699e-06,-2.7118437333116956e-06
152.0,-2.7871962188021764e-06,1.2266317086146497e-06,-3.412385226064221e-06,-2.418679127758371e-06,5.9891962317445605e-05,1.6026079639564476e-05,4.5766662153589536e-05,2.9656038421966328e-05,-3.879712508579873e-06,9.344153763235123e-07,-3.7089522127781135e-06,-2.52375736899067e-06
156.0,-3.7464574495233297e-06,1.2049460878785594e-06,-3.078658871781691e-06,-2.1981423980395294e-06,6.326855424341156e-05,1.5616138875484027e-05,4.10197361510619e-05,2.677257145312087e-05,-4.571586083008079e-06,9.147756228088829e-07,-3.3383998371369748e-06,-2.2876952195030468e-06
160.0,-2.4473671084507335e-06,1.1732367633603123e-06,-2.708328179258464e-06,-1.9511402500026024e-06,5.090670157147433e-05,1.5247353807254392e-05,3.736653353094335e-05,2.4734653090044044e-05,-3.3486293738586506e-06,8.91746385164631e-07,-2.9847831730004363e-06,-2.0672603826145996e-06
164.0,-2.9356819314629568e-06,1.152591901219715e-06,-2.4747820951162997e-06,-1.806229746539069e-06,1.969598522681881e-05,1.4925530461331795e-05,3.3510554339210964e-05,2.249189179475024e-05,-2.4425102632329226e-06,8.747287675699618e-07,-2.704256469281252e-06,-1.8986866723644932e-06
168.0,-1.623771414805659e-06,1.130152282575122e-06,-2.223622511777247e-06,-1.6438510087616457e-06,1.6068003610919865e-07,1.4615202350937731e-05,3.015466612426553e-05,2.0576783314553365e-05,-9.403051887334537e-07,8.572075506125767e-07,-2.4318494515915196e-06,-1.732212862864661e-06
172.0,-5.762931399468918e-07,1.1139754062300291e-06,-1.9612655881415945e-06,-1.4650317484197327e-06,-1.0607552795520386e-05,1.4311329772338178e-05,2.6682130428469606e-05,1.8487709022725488e-05,7.884111511780005e-08,8.425659458797427e-07,-2.149604466826502e-06,-1.550128846241362e-06
176.0,4.352195881003687e-07,1.0926682002632028e-06,-1.7101585356752098e-06,-1.2877608690471721e-06,4.3863818984464796e-05,1.400111756682857e-05,2.361387512658948e-05,1.6549177145230576e-05,-1.4459246115138394e-06,8.255290087199456e-07,-1.8883130210237846e-06,-1.3743144307778085e-06
